Unit2,Stimulus,ID.x,Region,Trial,Letter,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,FamUnfamSpecies,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio,Type0,TypeBN,TypeFL,RS_WN,pop_var_WN
A3_NCM_TRIAL2_A,3,A3,NCM,2,A,A3,2.181818182,2.94117647,2.400757456,3.101512076,0.496673544,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,15,L,1.1,x,0.637,-0.392,0.000180003,NA,Good,N,N,"Only 1st half of trial are these measurements (second half peak, trough , p2p = 0.4866V, -0.193V, 0.000179996s)",0.297142857,0.724714286,0.376,0.097142857,0.524714286,0.176,0.01,0.240234375,N,0.615384615,NS2,Narrow,NCM,0.759358288,3.396322456
A3_NCM_TRIAL3_A,3,A3,NCM,3,A,A3,5.25,7.205882353,3.058637468,2.849180439,0.678173786,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,20,L,1.2,x,0.3667,-0.0511,0.000420005,NA,Good,N,N,,0.397947368,0.792947368,0.472473684,0.197947368,0.592947368,0.272473684,0.04,0.016871369,Y,0.139350968,Broad,Broad,NCM,1.955882353,8.731790658
A3_NCM_TRIAL4_A,3,A3,NCM,4,A,A3,0.6,1.529411765,0.680557047,0.840601462,0.793661376,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,20,L,1.3,x,0.3437,-0.0586,0.00024,NA,Good,N,N,,0.168588235,0.257529412,0.269176471,-0.031411765,0.057529412,0.069176471,0.09,0.00527004,Y,0.170497527,NS1,Narrow,NCM,0.929411765,1.3583391
A4_FL_TRIAL1_A,3,A4,FL,1,A,A4,1.333333333,2.352941176,1.714985851,1.838148787,0.992503779,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.1,x,-1.23,0.093,0.000180029,NA,Bad,Y,N,Inverted with double depolarization peak; Loose spot a bit after 45 presentations,0.356941176,0.354764706,0.372176471,0.156941176,0.154764706,0.172176471,0.01,0.004022779,Y,0.075609756,Field L,Field L,Narrow,1.019607843,1.328335256
A4_FL_TRIAL3_A,3,A4,FL,3,A,A4,2.3125,7.5,1.815443013,3.182275016,1.675673887,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.25,x,-1.133,0.355,0.000240001,NA,Good,N,N,Inverted,0.243266667,0.3188,0.243466667,0.043266667,0.1188,0.043466667,0.01,0.000583419,Y,0.313327449,Field L,Field L,Narrow,5.1875,9.771288385
A4_FL_TRIAL3_B,3,A4,FL,3,B,A4,1.1875,3.198529412,1.515200757,1.677158442,0.759555941,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.25,x,1.014,-0.09,0.001259997,NA,Bad,N,N,Shape is weird,0.203666667,0.221066667,0.202266667,0.003666667,0.021066667,0.002266667,0.01,0.01204531,Y,0.088757396,Field L,Field L,Broad,2.011029412,6.871201882
A4_FL_TRIAL4_A,3,A4,FL,4,A,A4,3.75,9.485294117,2.251983253,2.444388896,3.108045471,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.3,ok,-1.324,0.406,0.00024,NA,Bad,N,N,Inverted; lost spot after 460s,0.257666667,0.294333333,0.234833333,0.057666667,0.094333333,0.034833333,0.055,0.0078125,Y,0.306646526,Field L,Field L,Narrow,5.735294117,4.187716264
A4_FL_TRIAL5_A,3,A4,FL,5,A,A4,1.375,4.926470588,1.685018016,2.413864632,1.302407326,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.35,ok,-1.028,0.5,0.00018,NA,Bad,N,N,Inverted; Lost spot after 640s,0.203285714,0.469285714,0.364857143,0.003285714,0.269285714,0.164857143,0.06,0.0234375,Y,0.486381323,Field L,Field L,Narrow,3.551470588,7.454098183
A4_NCM_TRIAL1_A,3,A4,NCM,1,A,A4,0.944444444,1.830065359,0.998364676,1.121354058,0.628932837,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.06,x,0.6942,0.0843,0.000240001,NA,Bad,N,N,Weird double peak,0.161529412,0.462882353,0.250588235,-0.038470588,0.262882353,0.050588235,0.01,0.026239441,Y,0.121434745,NS1,Narrow,NCM,0.885620915,1.990954334
A4_NCM_TRIAL1_B,3,A4,NCM,1,B,A4,0.611111111,0.784313725,0.777544316,0.924594409,0.132788714,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.06,x,-0.832,0.002,0.001,NA,Bad,N,N,"Inverted, horrible shape",0.150941176,0.770588235,0.532882353,-0.049058824,0.570588235,0.332882353,0.01,0.7055266,N,0.002403846,Broad,Broad,NCM,0.173202614,1.683380324
