Trialx,Treatment,Stimulus,Presentation,Period,base_fr,Unit2,stim_fr,ID,Region,Trial,Letter
2,NA,2???,22,Baseline,6,A2_FL_TRIAL2_A,13.48837209,A2,FL,TRIAL2,A
2,NA,2???,23,Baseline,3,A2_FL_TRIAL2_A,17.6744186,A2,FL,TRIAL2,A
2,NA,2???,24,Baseline,6,A2_FL_TRIAL2_A,16.74418605,A2,FL,TRIAL2,A
2,NA,2???,25,Baseline,4,A2_FL_TRIAL2_A,9.302325581,A2,FL,TRIAL2,A
2,NA,2???,26,Baseline,8,A2_FL_TRIAL2_A,7.906976744,A2,FL,TRIAL2,A
2,NA,2???,27,Baseline,7,A2_FL_TRIAL2_A,13.48837209,A2,FL,TRIAL2,A
2,NA,2???,28,Baseline,6,A2_FL_TRIAL2_A,15.34883721,A2,FL,TRIAL2,A
2,NA,3???,29,Baseline,10,A2_FL_TRIAL2_A,13.52941176,A2,FL,TRIAL2,A
2,NA,3???,30,Baseline,1,A2_FL_TRIAL2_A,4.117647059,A2,FL,TRIAL2,A
2,NA,3???,31,Baseline,2,A2_FL_TRIAL2_A,1.764705882,A2,FL,TRIAL2,A
2,NA,3???,32,Baseline,5,A2_FL_TRIAL2_A,4.117647059,A2,FL,TRIAL2,A
2,NA,3???,33,Baseline,4,A2_FL_TRIAL2_A,8.235294118,A2,FL,TRIAL2,A
2,NA,3???,34,Baseline,10,A2_FL_TRIAL2_A,4.117647059,A2,FL,TRIAL2,A
2,NA,3???,35,Baseline,3,A2_FL_TRIAL2_A,6.470588235,A2,FL,TRIAL2,A
2,NA,3???,36,Baseline,5,A2_FL_TRIAL2_A,10,A2,FL,TRIAL2,A
2,NA,3???,37,Baseline,3,A2_FL_TRIAL2_A,12.35294118,A2,FL,TRIAL2,A
2,NA,3???,38,Baseline,4,A2_FL_TRIAL2_A,12.35294118,A2,FL,TRIAL2,A
2,NA,3???,39,Baseline,5,A2_FL_TRIAL2_A,3.529411765,A2,FL,TRIAL2,A
2,NA,3???,40,Baseline,7,A2_FL_TRIAL2_A,7.058823529,A2,FL,TRIAL2,A
2,NA,3???,41,Baseline,7,A2_FL_TRIAL2_A,13.52941176,A2,FL,TRIAL2,A
2,NA,4???,42,Baseline,9,A2_FL_TRIAL2_A,31.34328358,A2,FL,TRIAL2,A
2,NA,4???,43,Baseline,4,A2_FL_TRIAL2_A,21.64179104,A2,FL,TRIAL2,A
2,NA,4???,44,Baseline,2,A2_FL_TRIAL2_A,15.67164179,A2,FL,TRIAL2,A
2,NA,4???,45,Baseline,1,A2_FL_TRIAL2_A,15.67164179,A2,FL,TRIAL2,A
2,NA,4???,46,Baseline,1,A2_FL_TRIAL2_A,24.62686567,A2,FL,TRIAL2,A
2,NA,4???,47,Baseline,7,A2_FL_TRIAL2_A,20.14925373,A2,FL,TRIAL2,A
2,NA,4???,48,Baseline,5,A2_FL_TRIAL2_A,19.40298507,A2,FL,TRIAL2,A
2,NA,4???,49,Baseline,10,A2_FL_TRIAL2_A,26.11940299,A2,FL,TRIAL2,A
2,NA,4???,50,Baseline,6,A2_FL_TRIAL2_A,21.64179104,A2,FL,TRIAL2,A
2,NA,4???,51,Baseline,8,A2_FL_TRIAL2_A,26.11940299,A2,FL,TRIAL2,A
2,NA,4???,52,Baseline,6,A2_FL_TRIAL2_A,25.37313433,A2,FL,TRIAL2,A
2,NA,4???,53,Baseline,5,A2_FL_TRIAL2_A,29.85074627,A2,FL,TRIAL2,A
2,NA,5???,54,Baseline,8,A2_FL_TRIAL2_A,20.20905923,A2,FL,TRIAL2,A
2,NA,5???,55,Baseline,13,A2_FL_TRIAL2_A,18.81533101,A2,FL,TRIAL2,A
2,NA,5???,56,Baseline,3,A2_FL_TRIAL2_A,18.1184669,A2,FL,TRIAL2,A
2,NA,5???,57,Baseline,7,A2_FL_TRIAL2_A,16.37630662,A2,FL,TRIAL2,A
2,NA,5???,58,Baseline,7,A2_FL_TRIAL2_A,14.28571429,A2,FL,TRIAL2,A
2,NA,5???,59,Baseline,3,A2_FL_TRIAL2_A,19.86062718,A2,FL,TRIAL2,A
2,NA,5???,60,Baseline,4,A2_FL_TRIAL2_A,20.20905923,A2,FL,TRIAL2,A
2,NA,5???,61,Baseline,9,A2_FL_TRIAL2_A,15.33101045,A2,FL,TRIAL2,A
2,NA,5???,62,Baseline,8,A2_FL_TRIAL2_A,18.46689895,A2,FL,TRIAL2,A
2,NA,1???,1,Baseline,6,A2_FL_TRIAL2_B,21.32352941,A2,FL,TRIAL2,B
2,NA,1???,2,Baseline,0,A2_FL_TRIAL2_B,8.088235294,A2,FL,TRIAL2,B
2,NA,1???,3,Baseline,3,A2_FL_TRIAL2_B,9.558823529,A2,FL,TRIAL2,B
2,NA,1???,4,Baseline,3,A2_FL_TRIAL2_B,12.5,A2,FL,TRIAL2,B
2,NA,1???,5,Baseline,5,A2_FL_TRIAL2_B,8.088235294,A2,FL,TRIAL2,B
2,NA,1???,6,Baseline,1,A2_FL_TRIAL2_B,9.558823529,A2,FL,TRIAL2,B
2,NA,1???,7,Baseline,2,A2_FL_TRIAL2_B,9.558823529,A2,FL,TRIAL2,B
2,NA,1???,8,Baseline,6,A2_FL_TRIAL2_B,11.76470588,A2,FL,TRIAL2,B
2,NA,1???,9,Baseline,2,A2_FL_TRIAL2_B,14.70588235,A2,FL,TRIAL2,B
2,NA,1???,10,Baseline,5,A2_FL_TRIAL2_B,11.76470588,A2,FL,TRIAL2,B
2,NA,1???,11,Baseline,1,A2_FL_TRIAL2_B,6.617647059,A2,FL,TRIAL2,B
2,NA,1???,12,Baseline,12,A2_FL_TRIAL2_B,15.44117647,A2,FL,TRIAL2,B
2,NA,1???,13,Baseline,2,A2_FL_TRIAL2_B,19.11764706,A2,FL,TRIAL2,B
2,NA,1???,14,Baseline,4,A2_FL_TRIAL2_B,17.64705882,A2,FL,TRIAL2,B
2,NA,2???,15,Baseline,4,A2_FL_TRIAL2_B,12.55813953,A2,FL,TRIAL2,B
2,NA,2???,16,Baseline,1,A2_FL_TRIAL2_B,8.837209302,A2,FL,TRIAL2,B
2,NA,2???,17,Baseline,1,A2_FL_TRIAL2_B,8.372093023,A2,FL,TRIAL2,B
2,NA,2???,18,Baseline,3,A2_FL_TRIAL2_B,8.372093023,A2,FL,TRIAL2,B
2,NA,2???,19,Baseline,3,A2_FL_TRIAL2_B,10.69767442,A2,FL,TRIAL2,B
2,NA,2???,20,Baseline,4,A2_FL_TRIAL2_B,11.62790698,A2,FL,TRIAL2,B
2,NA,2???,21,Baseline,5,A2_FL_TRIAL2_B,11.1627907,A2,FL,TRIAL2,B
2,NA,2???,22,Baseline,2,A2_FL_TRIAL2_B,10.69767442,A2,FL,TRIAL2,B
2,NA,2???,23,Baseline,2,A2_FL_TRIAL2_B,13.48837209,A2,FL,TRIAL2,B
2,NA,2???,24,Baseline,4,A2_FL_TRIAL2_B,19.53488372,A2,FL,TRIAL2,B
2,NA,2???,25,Baseline,5,A2_FL_TRIAL2_B,6.511627907,A2,FL,TRIAL2,B
2,NA,2???,26,Baseline,5,A2_FL_TRIAL2_B,11.1627907,A2,FL,TRIAL2,B
2,NA,2???,27,Baseline,8,A2_FL_TRIAL2_B,10.23255814,A2,FL,TRIAL2,B
2,NA,2???,28,Baseline,6,A2_FL_TRIAL2_B,10.23255814,A2,FL,TRIAL2,B
2,NA,3???,29,Baseline,6,A2_FL_TRIAL2_B,7.647058824,A2,FL,TRIAL2,B
2,NA,3???,30,Baseline,3,A2_FL_TRIAL2_B,4.117647059,A2,FL,TRIAL2,B
2,NA,3???,31,Baseline,2,A2_FL_TRIAL2_B,1.176470588,A2,FL,TRIAL2,B
2,NA,3???,32,Baseline,2,A2_FL_TRIAL2_B,2.352941176,A2,FL,TRIAL2,B
2,NA,3???,33,Baseline,4,A2_FL_TRIAL2_B,5.882352941,A2,FL,TRIAL2,B
2,NA,3???,34,Baseline,34,A2_FL_TRIAL2_B,4.117647059,A2,FL,TRIAL2,B
2,NA,3???,35,Baseline,6,A2_FL_TRIAL2_B,3.529411765,A2,FL,TRIAL2,B
2,NA,3???,36,Baseline,4,A2_FL_TRIAL2_B,6.470588235,A2,FL,TRIAL2,B
2,NA,3???,37,Baseline,5,A2_FL_TRIAL2_B,10,A2,FL,TRIAL2,B
2,NA,3???,38,Baseline,2,A2_FL_TRIAL2_B,5.882352941,A2,FL,TRIAL2,B
2,NA,3???,39,Baseline,1,A2_FL_TRIAL2_B,4.117647059,A2,FL,TRIAL2,B
2,NA,3???,40,Baseline,3,A2_FL_TRIAL2_B,17.05882353,A2,FL,TRIAL2,B
2,NA,3???,41,Baseline,6,A2_FL_TRIAL2_B,9.411764706,A2,FL,TRIAL2,B
2,NA,4???,42,Baseline,1,A2_FL_TRIAL2_B,18.65671642,A2,FL,TRIAL2,B
2,NA,4???,43,Baseline,2,A2_FL_TRIAL2_B,15.67164179,A2,FL,TRIAL2,B
2,NA,4???,44,Baseline,0,A2_FL_TRIAL2_B,11.94029851,A2,FL,TRIAL2,B
2,NA,4???,45,Baseline,0,A2_FL_TRIAL2_B,13.43283582,A2,FL,TRIAL2,B
2,NA,4???,46,Baseline,2,A2_FL_TRIAL2_B,22.3880597,A2,FL,TRIAL2,B
2,NA,4???,47,Baseline,5,A2_FL_TRIAL2_B,22.3880597,A2,FL,TRIAL2,B
2,NA,4???,48,Baseline,7,A2_FL_TRIAL2_B,21.64179104,A2,FL,TRIAL2,B
2,NA,4???,49,Baseline,2,A2_FL_TRIAL2_B,22.3880597,A2,FL,TRIAL2,B
2,NA,4???,50,Baseline,3,A2_FL_TRIAL2_B,26.11940299,A2,FL,TRIAL2,B
2,NA,4???,51,Baseline,3,A2_FL_TRIAL2_B,20.89552239,A2,FL,TRIAL2,B
2,NA,4???,52,Baseline,2,A2_FL_TRIAL2_B,14.92537313,A2,FL,TRIAL2,B
2,NA,4???,53,Baseline,7,A2_FL_TRIAL2_B,23.88059701,A2,FL,TRIAL2,B
2,NA,5???,54,Baseline,4,A2_FL_TRIAL2_B,18.1184669,A2,FL,TRIAL2,B
2,NA,5???,55,Baseline,3,A2_FL_TRIAL2_B,15.33101045,A2,FL,TRIAL2,B
2,NA,5???,56,Baseline,3,A2_FL_TRIAL2_B,16.02787456,A2,FL,TRIAL2,B
2,NA,5???,57,Baseline,6,A2_FL_TRIAL2_B,18.1184669,A2,FL,TRIAL2,B
2,NA,5???,58,Baseline,5,A2_FL_TRIAL2_B,13.58885017,A2,FL,TRIAL2,B
2,NA,5???,59,Baseline,3,A2_FL_TRIAL2_B,17.42160279,A2,FL,TRIAL2,B
2,NA,5???,60,Baseline,6,A2_FL_TRIAL2_B,18.1184669,A2,FL,TRIAL2,B
2,NA,5???,61,Baseline,11,A2_FL_TRIAL2_B,18.1184669,A2,FL,TRIAL2,B
2,NA,5???,62,Baseline,4,A2_FL_TRIAL2_B,11.49825784,A2,FL,TRIAL2,B
3,NA,1???,1,Baseline,1,A2_FL_TRIAL3_A,8.823529412,A2,FL,TRIAL3,A
3,NA,1???,2,Baseline,2,A2_FL_TRIAL3_A,11.76470588,A2,FL,TRIAL3,A
3,NA,1???,3,Baseline,2,A2_FL_TRIAL3_A,8.088235294,A2,FL,TRIAL3,A
3,NA,1???,4,Baseline,0,A2_FL_TRIAL3_A,12.5,A2,FL,TRIAL3,A
3,NA,1???,5,Baseline,0,A2_FL_TRIAL3_A,6.617647059,A2,FL,TRIAL3,A
3,NA,1???,6,Baseline,2,A2_FL_TRIAL3_A,8.823529412,A2,FL,TRIAL3,A
3,NA,1???,7,Baseline,0,A2_FL_TRIAL3_A,8.088235294,A2,FL,TRIAL3,A
3,NA,1???,8,Baseline,0,A2_FL_TRIAL3_A,4.411764706,A2,FL,TRIAL3,A
3,NA,1???,9,Baseline,0,A2_FL_TRIAL3_A,8.088235294,A2,FL,TRIAL3,A
3,NA,1???,10,Baseline,0,A2_FL_TRIAL3_A,11.02941176,A2,FL,TRIAL3,A
3,NA,1???,11,Baseline,0,A2_FL_TRIAL3_A,6.617647059,A2,FL,TRIAL3,A
3,NA,1???,12,Baseline,1,A2_FL_TRIAL3_A,7.352941176,A2,FL,TRIAL3,A
3,NA,1???,13,Baseline,0,A2_FL_TRIAL3_A,9.558823529,A2,FL,TRIAL3,A
3,NA,1???,14,Baseline,2,A2_FL_TRIAL3_A,7.352941176,A2,FL,TRIAL3,A
3,NA,2???,15,Baseline,2,A2_FL_TRIAL3_A,3.720930233,A2,FL,TRIAL3,A
3,NA,2???,16,Baseline,4,A2_FL_TRIAL3_A,6.511627907,A2,FL,TRIAL3,A
3,NA,2???,17,Baseline,1,A2_FL_TRIAL3_A,4.651162791,A2,FL,TRIAL3,A
3,NA,2???,18,Baseline,0,A2_FL_TRIAL3_A,9.302325581,A2,FL,TRIAL3,A
3,NA,2???,19,Baseline,0,A2_FL_TRIAL3_A,4.186046512,A2,FL,TRIAL3,A
3,NA,2???,20,Baseline,0,A2_FL_TRIAL3_A,2.325581395,A2,FL,TRIAL3,A
3,NA,2???,21,Baseline,0,A2_FL_TRIAL3_A,4.186046512,A2,FL,TRIAL3,A
3,NA,2???,22,Baseline,0,A2_FL_TRIAL3_A,2.790697674,A2,FL,TRIAL3,A
3,NA,2???,23,Baseline,0,A2_FL_TRIAL3_A,4.651162791,A2,FL,TRIAL3,A
3,NA,2???,24,Baseline,1,A2_FL_TRIAL3_A,6.046511628,A2,FL,TRIAL3,A
3,NA,2???,25,Baseline,4,A2_FL_TRIAL3_A,6.976744186,A2,FL,TRIAL3,A
