ID.x,Region,Trial,Letter,Stimulus,Unit2,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio
A2,FL,7,A,3,A2_FL_TRIAL7_A,A2,1.4,0.274509804,2.028370211,0.376435573,-0.5659053,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,0.772,-0.03,0.001259961,NA,Bad,N,N,,0.132,0.62175,0.515,-0.068,0.42175,0.315,NA,0.02452963,Y,0.038860104
A2,FL,7,A,4,A2_FL_TRIAL7_A,A2,0.538461538,2.468427095,0.967417922,1.375532441,0.980630303,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,0.772,-0.03,0.001259961,NA,Bad,N,N,,0.479,0.181375,0.41075,0.279,-0.018625,0.21075,0.01,0.009605267,Y,0.038860104
A2,FL,7,A,5,A2_FL_TRIAL7_A,A2,0.111111111,2.206736353,0.333333333,1.101838906,1.783157568,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,0.772,-0.03,0.001259961,NA,Bad,N,N,,0.398375,0.3755,0.3605,0.198375,0.1755,0.1605,0.23,0.009029911,Y,0.038860104
A2,FL,7,B,1,A2_FL_TRIAL7_B,A2,0.4,1.078431373,0.828078671,0.779484432,0.622943582,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,-1.054,0.157,0.000359963,NA,Bad,N,N,Inverted,0.28325,0.176125,0.135625,0.08325,-0.023875,-0.064375,0.21,0.057404377,N,0.148956357
A2,FL,7,B,2,A2_FL_TRIAL7_B,A2,1,2.182468694,1.870828693,1.475533477,0.436650105,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,-1.054,0.157,0.000359963,NA,Bad,N,N,Inverted,0.294625,0.209125,0.2895,0.094625,0.009125,0.0895,0.01,0.107865634,N,0.148956357
A2,FL,7,B,3,A2_FL_TRIAL7_B,A2,0.666666667,0.588235294,0.899735411,0.544600059,-0.071584615,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,-1.054,0.157,0.000359963,NA,Bad,N,N,Inverted,0.1395,0.34,0.40525,-0.0605,0.14,0.20525,NA,0.622460656,N,0.148956357
A2,FL,7,B,4,A2_FL_TRIAL7_B,A2,0.384615385,2.066590126,0.506369684,1.527994449,1.318860362,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,-1.054,0.157,0.000359963,NA,Bad,N,N,Inverted,0.501125,0.51,0.451875,0.301125,0.31,0.251875,NA,0.004990659,Y,0.148956357
A2,FL,7,B,5,A2_FL_TRIAL7_B,A2,0.222222222,1.200154859,0.440958552,0.890227045,1.255944765,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,-1.054,0.157,0.000359963,NA,Bad,N,N,Inverted,0.193125,0.247875,0.288,-0.006875,0.047875,0.088,0.36,0.014147404,Y,0.148956357
A2,NCM,1,A,1,A2_NCM_TRIAL1_A,A2,10.81818182,33.35561497,3.156522828,5.435934748,4.790050487,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.14,x,0.4347,-0.131,0.000179999,NA,Good,Y,N,,0.962888889,0.848666667,0.964,0.762888889,0.648666667,0.764,0.045,0.000976563,Y,0.301357258
A2,NCM,1,A,2,A2_NCM_TRIAL1_A,A2,10.91666667,28.4496124,4.71859635,5.216520722,2.934432505,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,R,1.14,x,0.4347,-0.131,0.000179999,NA,Good,Y,N,,1,0.941444444,1,0.8,0.741444444,0.8,0.06,0.000488281,Y,0.301357258
