"Unit2","Stimulus","ID.x","Region","Trial","Letter","StimSet","base_fr","stim_fr","basesd","stimsd","Z_score","stimID","Duration.s","FamUnfamSpecies","Species","FamUnfam","Clutch","Treatment","Age","DaysPostFledge","Mass","Date","No_reps","Hemisphere","Depth","ISI.check","Peak_V","Trough_V","Peak.to.Peak_s","Type","Quality","Exclude4PC","TroughBeforePeak","Notes","Accuracy.rcorr","Accuracy.count","Accuracy.cross_corr","normal_rcorr","normal_count","normal_cross_corr","Latency","p.value","sigYN","Peak2PeakRatio","Type0","TypeBN","TypeFL","RS_befi","pop_var_befi","RS_zebi","pop_var_zebi","dprime"
"A3_FL_TRIAL3_A",1,"A3","FL",3,"A","A3",1.2,6.532846716,1.794729125,2.87592021,1.996170683,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",20,"L",1.64,"ok",-0.717,0.313,0.00018,NA,"Bad","N","N","Inverted; Low S:N",0.331789474,0.350526316,0.353947368,0.131789474,0.150526316,0.153947368,0.065,9.53e-05,"Y",0.436541144,"Field L","Field L","Narrow",5.332846716,7.32613032225782,7.133333333,12.98681359011,0.798975493384262
"A3_FL_TRIAL4_A",1,"A3","FL",4,"A","A3",0.75,2.00729927,1.164157703,1.672472881,0.631496534,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",20,"L",1.49,"x",-0.942,0.161,0.000420001,NA,"Good","N","N","Inverted",0.324882353,0.248411765,0.227588235,0.124882353,0.048411765,0.027588235,0.05,0.014825013,"Y",0.170912951,"Field L","Field L","Broad",1.25729927,3.96305543720631,2.731818182,2.81884986222862,1.13241205049078
"A3_NCM_TRIAL1_A",1,"A3","NCM",1,"A","A3",2.933333333,11.48418491,1.667618776,2.860008355,2.292912099,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",15,"L",1,"x",0.3605,-0.0821,0.000360008,NA,"Good","N","N","",0.409071429,0.312142857,0.401428571,0.209071429,0.112142857,0.201428571,0.165,0.000724715,"Y",0.227739251,"NS1","Narrow","NCM",8.550851577,13.6621724903006,10.37979798,13.1627629887953,0.706255155953837
"A3_NCM_TRIAL2_A",1,"A3","NCM",2,"A","A3",0.272727273,14.66489715,0.646669791,7.258679443,2.055007988,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",15,"L",1.1,"x",0.637,-0.392,0.000180003,NA,"Good","N","N","Only 1st half of trial are these measurements (second half peak, trough , p2p = 0.4866V, -0.193V, 0.000179996s)",0.756428571,0.297428571,0.784428571,0.556428571,0.097428571,0.584428571,0.075,0.0038398,"Y",0.615384615,"NS2","Narrow","NCM",14.392169877,48.9785002589845,14.03787879,110.354931898494,-0.0561353929198849
"A3_NCM_TRIAL3_A",1,"A3","NCM",3,"A","A3",5.8,17.26277372,2.307881234,3.964695253,2.612251897,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",20,"L",1.2,"x",0.3667,-0.0511,0.000420005,NA,"Good","N","N","",0.811315789,0.510631579,0.782789474,0.611315789,0.310631579,0.582789474,0.055,9.56e-05,"Y",0.139350968,"Broad","Broad","NCM",11.46277372,19.2921380966874,13.21060606,31.4330096482243,0.490815315564898
"A3_NCM_TRIAL4_A",1,"A3","NCM",4,"A","A3",0.9,1.277372263,0.718184846,1.107622224,0.320479189,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",20,"L",1.3,"x",0.3437,-0.0586,0.00024,NA,"Good","N","N","",0.343470588,0.294411765,0.274352941,0.143470588,0.094411765,0.074352941,0.015,0.222194712,"N",0.170497527,"NS1","Narrow","NCM",0.377372263,1.40001118885909,1.501515152,3.32070477445735,1.03477893215013
"A4_FL_TRIAL1_A",2,"A4","FL",1,"A","A4",1.263157895,2.717391304,1.557851272,1.78421337,1.357040904,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.1,"x",-1.23,0.093,0.000180029,NA,"Bad","Y","N","Inverted with double depolarization peak; Loose spot a bit after 45 presentations",0.256647059,0.282058824,0.280352941,0.056647059,0.082058824,0.080352941,0.025,0.000666805,"Y",0.075609756,"Field L","Field L","Narrow",1.454233409,1.36766962167395,2.899062725,4.00296709177923,1.24690582136485
"A4_FL_TRIAL3_A",2,"A4","FL",3,"A","A4",2.95,6.929347826,2.235479461,2.730944463,1.907364295,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.25,"x",-1.133,0.355,0.000240001,NA,"Good","N","N","Inverted",0.336,0.170466667,0.3336,0.136,-0.029533333,0.1336,0.015,9.56e-05,"Y",0.313327449,"Field L","Field L","Narrow",3.979347826,4.72667651240332,6.502523432,7.60251361163031,1.43717680058384
"A4_FL_TRIAL3_B",2,"A4","FL",3,"B","A4",0.9,3.831521739,1.483239697,3.01037799,0.873404853,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.25,"x",1.014,-0.09,0.001259997,NA,"Bad","N","N","Shape is weird",0.3034,0.216266667,0.297,0.1034,0.016266667,0.097,0.04,0.001076452,"Y",0.088757396,"Field L","Field L","Broad",2.931521739,11.2373003362956,3.264599856,5.64342184749338,0.162136422133274
"A4_FL_TRIAL4_A",2,"A4","FL",4,"A","A4",1.857142857,6.98757764,1.67616342,1.30994314,1.966938942,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.3,"ok",-1.324,0.406,0.00024,NA,"Bad","N","N","Inverted; lost spot after 460s",0.189,0.220666667,0.249666667,-0.011,0.020666667,0.049666667,0.225,0.022254125,"Y",0.306646526,"Field L","Field L","Narrow",5.130434783,6.38563326947367,6.760273973,11.1595984263526,0.778207116769489
